year,ProfitK,ProfitY,IY,RF,PE,growthpop,growthemp,growthGDP,priceinvt,PD,PEop,growthTFP,growthTFPADJ,ERP,KY,ystar,Drate,ik,LS,CS,PS,SP,ERPalt,SPMU,SPRISK,Spread2,gYN,ER,lev_net_mkt,kstar,vstar,cstar,xstar,logystar,logxstar,logcstar,EmpPop,logystar2,logxstar2,logcstar2,TobinQ
1981,12.290889,30.123215,18.752728,4.2950001,8.4641666,1.4113424,1.0978918,2.5056279,-.097202241,20.970167,11.110997,1.093994,.38924146,-99.989998,2.4508574,-99.989998,4.8588405,7.5840659,-99.989998,-99.989998,-99.989998,7.9958887,-99.989998,-99.989998,-99.989998,-99.989998,1.4077361,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.013508,-99.989998,-99.989998,-99.989998,-99
1982,12.145471,30.135208,17.821041,4.8000002,7.3466668,1.2507914,-.87073237,-1.8185629,-.12476826,18.49633,10.602304,-2.9428811,0,-99.989998,2.481189,-99.989998,5.0671358,7.0872407,-99.989998,-99.989998,-99.989998,7.3454704,-99.989998,-99.989998,-99.989998,-99.989998,-.9478305,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.774712,-99.989998,-99.989998,-99.989998,-99
1983,13.037289,30.849655,17.702257,5.6391668,9.6408329,1.1223253,1.2902546,4.4809451,-4.067451,24.751451,11.646624,1.9214219,-1.21738,-99.989998,2.3662632,-99.989998,5.1029191,7.3892312,-99.989998,-99.989998,-99.989998,7.3981218,-99.989998,-99.989998,-99.989998,-99.989998,3.1906905,-99.989998,,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,57.871811,-99.989998,-99.989998,-99.989998,-99
1984,14.009351,31.615761,18.691797,5.9458332,9.4300003,1.2364256,4.0633259,6.987011,-3.0723855,22.931623,11.550651,3.3724868,1.1236632,-99.989998,2.2567613,-99.989998,5.0867548,8.2079477,-99.989998,-99.989998,-99.989998,8.0635176,-99.989998,-99.989998,-99.989998,-99.989998,2.9236851,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,59.531136,-99.989998,-99.989998,-99.989998,-99
1985,13.947531,30.917938,18.617193,4.0508332,10.690833,1.0281019,2.0280511,4.0855532,-2.3485975,25.548584,12.12459,.95542127,1.813457,-99.989998,2.216732,-99.989998,5.1609416,8.3423443,-99.989998,-99.989998,-99.989998,9.896698,-99.989998,-99.989998,-99.989998,-99.989998,2.057502,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,60.129402,-99.989998,-99.989998,-99.989998,-99
1986,13.129897,29.330109,18.398987,2.4041667,13.389167,1.3272958,2.2575645,3.403821,.1157134,29.623932,13.352889,1.1533235,1.607018,-99.989998,2.2338414,-99.989998,5.1954527,8.1191778,-99.989998,-99.989998,-99.989998,10.725731,-99.989998,-99.989998,-99.989998,-99.989998,1.1462564,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,60.691376,-99.989998,-99.989998,-99.989998,-99
1987,13.267795,29.630096,17.81595,2.6391666,16.015833,1.1922874,2.557112,3.4010949,-1.0586559,30.9391,14.548564,.68763041,-.030004501,-99.989998,2.2332344,-99.989998,5.2200537,7.9121628,-99.989998,-99.989998,-99.989998,10.628628,-99.989998,-99.989998,-99.989998,-99.989998,.84398293,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,61.525387,-99.989998,-99.989998,-99.989998,-99
1988,13.683173,30.142754,17.540676,3.2358334,14.44,1.0125339,2.2292924,4.0920687,-1.4416203,24.686829,11.476666,1.3804281,2.3423514,-99.989998,2.2029066,-99.989998,5.2707777,7.8940296,-99.989998,-99.989998,-99.989998,10.44734,-99.989998,-99.989998,-99.989998,-99.989998,1.8627763,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.278572,-99.989998,-99.989998,-99.989998,-99
1989,13.685737,29.600113,17.229155,4.0183334,16.613333,.95960742,2.0258167,3.6064289,-2.131355,28.15316,13.1,-.58168852,-.15011261,-99.989998,2.1628439,-99.989998,5.3254004,7.8831987,-99.989998,-99.989998,-99.989998,9.6674032,-99.989998,-99.989998,-99.989998,-99.989998,1.5806122,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.946144,-99.989998,-99.989998,-99.989998,-99
1990,13.567255,29.058876,16.415958,2.8658333,16.4575,1.4757483,1.2440022,1.8688306,-2.6482246,27.424585,14.355833,.12991558,.30952048,-99.989998,2.141839,-99.989998,5.3930473,7.6103978,-99.989998,-99.989998,-99.989998,10.701422,-99.989998,-99.989998,-99.989998,-99.989998,.62482834,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.800438,-99.989998,-99.989998,-99.989998,-99
1991,13.702817,29.052483,15.340771,.95833331,17.920834,.92667657,-.91590118,-.10790081,-1.8150176,32.327278,18.834167,-.57163072,.70749134,-99.989998,2.1201832,-99.989998,5.5314293,7.1605277,-99.989998,-99.989998,-99.989998,12.744484,-99.989998,-99.989998,-99.989998,-99.989998,.80800039,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,61.653889,-99.989998,-99.989998,-99.989998,-99
1992,13.4515,28.071907,15.286106,.23916666,19.634167,.98012364,.65650678,3.4614255,-2.8341315,35.999943,20.834999,3.2079895,2.166364,-99.989998,2.0868979,-99.989998,5.4676938,7.2255864,-99.989998,-99.989998,-99.989998,13.212334,-99.989998,-99.989998,-99.989998,-99.989998,2.8049188,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,61.454689,-99.989998,-99.989998,-99.989998,-99
1993,13.751038,28.710449,15.834135,.12583333,20.749166,1.0485262,1.4833993,2.7155323,-1.4635551,38.992973,18.584167,-.85363311,-2.5728149,-99.989998,2.0878751,-99.989998,5.4455686,7.5370636,-99.989998,-99.989998,-99.989998,13.625204,-99.989998,-99.989998,-99.989998,-99.989998,1.232133,-99.989998,.5291028,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,61.722519,-99.989998,-99.989998,-99.989998,-99
1994,14.42071,30.077248,16.367054,2.46,20.48,1.0095356,2.31178,3.9495084,-.55466408,38.287018,15.5625,.39920214,-.80321717,-99.989998,2.0856981,-99.989998,5.422761,7.7913532,-99.989998,-99.989998,-99.989998,11.96071,-99.989998,-99.989998,-99.989998,-99.989998,1.6377285,-99.989998,.5448429,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.531555,-99.989998,-99.989998,-99.989998,-99
1995,14.788145,30.865074,16.837049,2.9566667,22.720833,.89509434,1.4816689,2.6490037,-.63257796,41.878986,15.316667,.42907813,1.6365354,-99.989998,2.0871499,-99.989998,5.5345807,8.0356474,-99.989998,-99.989998,-99.989998,11.831478,-99.989998,-99.989998,-99.989998,-99.989998,1.1673348,-99.989998,.46237397,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,62.899426,-99.989998,-99.989998,-99.989998,-99
1996,15.105232,31.3563,17.357645,2.7958333,25.942499,1.0053328,1.4401776,3.7037337,-2.4950027,49.283382,17.101667,1.7250353,1.6857117,-99.989998,2.0758569,-99.989998,5.55476,8.3521299,-99.989998,-99.989998,-99.989998,12.309399,-99.989998,-99.989998,-99.989998,-99.989998,2.263556,-99.989998,.4142749,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,63.173538,-99.989998,-99.989998,-99.989998,-99
1997,15.284401,31.526573,17.775368,3.2383332,30.956667,1.2596235,2.2258041,4.3503819,-2.1324296,59.188644,20.325001,1.6758784,.73727542,-99.989998,2.0626633,-99.989998,5.5955281,8.5820704,-99.989998,-99.989998,-99.989998,12.046068,-99.989998,-99.989998,-99.989998,-99.989998,2.1245778,-99.989998,.35627505,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,63.786865,-99.989998,-99.989998,-99.989998,-99
1998,14.618241,30.261703,18.460079,2.7766666,36.006668,1.0220813,1.4584408,4.384366,-1.8826964,68.547188,24.5275,2.0880477,2.3716526,-99.989998,2.070133,-99.989998,5.6227746,8.866704,-99.989998,-99.989998,-99.989998,11.841575,-99.989998,-99.989998,-99.989998,-99.989998,2.9259253,-99.989998,.33492512,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,64.065811,-99.989998,-99.989998,-99.989998,-99
1999,14.230997,29.568474,18.962276,2.9941666,42.068333,1.2266493,1.5284653,4.6436567,-1.9661399,76.340782,27.605833,1.8723614,2.2446189,-99.989998,2.0777514,-99.989998,5.676105,9.0588799,-99.989998,-99.989998,-99.989998,11.236831,-99.989998,-99.989998,-99.989998,-99.989998,3.1151915,-99.989998,.3139697,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,-99.989998,64.259468,-99.989998,-99.989998,-99.989998,-99
